#####################################################################
# Alchemist log file - simulation started at: 2022-07-20T22:50+0000 #
#####################################################################
#
# seed = 2.0, density = 0.75, in_cluster_thr = 1.5, same_cluster_thr = 0.1, candidate_in_hysteresis = 7, speed = 0.0, explore_area = 0.0, fail_frequency = 0.1, new_node_frequency = 0.1
#
# The columns have the following meaning: 
# time cluster all-clusters temperature-1 temperature-2 temperature-3 temperature-4 temperature-5 errors silhouette dunnIndex 
0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
0.0032884513038209384 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
1.003288451303821 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
2.003288451303821 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
3.003288451303821 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
4.0032884513038205 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
5.0032884513038205 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
6.0032884513038205 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
7.0032884513038205 6 6 3.0 2.0 2.0 1.0 10.0 0.1377551020408163 0.39181385855151424 0.6026309067152631 
8.00328845130382 6 6 4.0 3.0 4.0 4.0 15.0 0.5663265306122449 0.06527310794716877 0.14336088718891438 
9.00328845130382 6 6 4.0 4.0 4.0 4.0 15.0 0.7857142857142857 -0.1667841704982644 0.11732060111797835 
10.00328845130382 6 6 4.0 4.0 4.0 4.0 15.0 0.8418367346938775 -0.25569903310535924 0.05387565956141972 
11.00328845130382 6 6 4.0 4.0 4.0 4.0 15.0 0.8418367346938775 -0.27107153202576323 0.01799675438809882 
12.00328845130382 6 6 4.0 4.0 4.0 4.0 15.0 0.8418367346938775 -0.2701515267873284 0.004502984187234294 
13.00328845130382 6 6 4.0 4.0 4.0 4.0 15.0 0.8418367346938775 -0.26873393571327225 0.003892037871652472 
14.00328845130382 6 6 4.0 4.0 4.0 4.0 15.0 0.8418367346938775 -0.2684640888062454 0.003705310308877851 
15.00328845130382 6 6 4.0 4.0 4.0 4.0 15.0 0.8418367346938775 -0.26770403308985113 0.0037053017595319163 
16.00328845130382 6 6 4.0 4.0 4.0 4.0 15.0 0.8418367346938775 -0.2670886738824861 0.003705293675992793 
17.00328845130382 6 6 4.0 4.0 4.0 4.0 15.0 0.8418367346938775 -0.2667008025014295 0.0037052860598499405 
18.00328845130382 6 6 4.0 4.0 4.0 5.0 15.0 0.8367346938775511 -0.261822068418352 0.0037052789089406595 
19.00328845130382 6 6 4.0 4.0 6.0 5.0 15.0 0.826530612244898 -0.26181714251916505 0.0037052722180296763 
20.00328845130382 6 6 4.0 4.0 6.0 5.0 15.0 0.826530612244898 -0.26270050278387036 0.0037052659791748706 
21.00328845130382 6 6 6.0 4.0 6.0 5.0 15.0 0.8163265306122449 -0.26481222323291564 0.0034445089193843926 
22.00328845130382 6 6 6.0 4.0 6.0 5.0 15.0 0.8163265306122449 -0.27052048001633144 0.007497270804588372 
23.00328845130382 6 6 7.0 4.0 6.0 5.0 15.0 0.8112244897959183 -0.27089949041130884 0.007504801111213619 
24.00328845130382 6 6 8.0 5.0 6.0 6.0 15.0 0.7959183673469388 -0.27128559952031295 0.007511878415414357 
25.00328845130382 6 6 8.0 5.0 6.0 6.0 15.0 0.7959183673469388 -0.2731297073994346 0.006817779437117459 
26.00328845130382 6 6 8.0 6.0 6.0 6.0 15.0 0.7908163265306123 -0.2705949751169949 0.01434942939536691 
27.00328845130382 6 6 8.0 6.0 7.0 7.0 15.0 0.7806122448979592 -0.270677869081835 0.0205238952434392 
28.00328845130382 6 6 8.0 7.0 8.0 7.0 15.0 0.7704081632653061 -0.28829731083906057 0.020125906585910545 
29.00328845130382 6 6 8.0 7.0 9.0 8.0 15.0 0.7602040816326531 -0.34593449763589856 0.02012862313677269 
30.00328845130382 6 6 8.0 7.0 9.0 8.0 15.0 0.7602040816326531 -0.3447640939763957 0.020130996063312555 
31.00328845130382 6 6 8.0 7.0 10.0 8.0 15.0 0.7551020408163265 -0.34434416678798285 0.022687735937317845 
32.00328845130382 6 6 9.0 7.0 10.0 8.0 15.0 0.75 -0.33952081482345126 0.02357896796078533 
33.00328845130382 6 6 9.0 7.0 10.0 9.0 15.0 0.7448979591836735 -0.3292882930340989 0.02601143014741104 
34.00328845130382 6 6 9.0 9.0 10.0 9.0 15.0 0.7346938775510204 -0.30569494378039236 0.026017649324468504 
35.00328845130382 6 6 9.0 10.0 10.0 9.0 15.0 0.7295918367346939 -0.28881243836394627 0.027343471136114805 
36.00328845130382 6 6 9.0 13.0 10.0 9.0 15.0 0.7142857142857143 -0.2915542549910188 0.027849552717106922 
37.00328845130382 6 6 11.0 13.0 10.0 9.0 15.0 0.6989795918367347 -0.31478142388070923 0.04233436212623833 
38.00328845130382 6 6 11.0 13.0 10.0 9.0 15.0 0.6989795918367347 -0.3002736038768244 0.06630669085104036 
39.00328845130382 6 6 11.0 13.0 10.0 9.0 15.0 0.6632653061224489 -0.26380166718317816 0.06778805039819515 
40.00328845130382 6 6 11.0 13.0 10.0 9.0 15.0 0.6173469387755102 -0.21756721077586377 0.021697535604820146 
41.00328845130382 6 6 12.0 13.0 11.0 10.0 15.0 0.5816326530612245 -0.23363939779629053 0.031019729836989307 
42.00328845130382 6 6 12.0 13.0 12.0 12.0 15.0 0.6377551020408163 -0.2640079046672084 0.0304937240132984 
