#####################################################################
# Alchemist log file - simulation started at: 2021-12-29T17:52+0000 #
#####################################################################
 #
seed-15.0_density-0.5_in_cluster_thr-1.5_same_cluster_thr-0.7_candidate_in_hysteresis-7_speed-0.03_explore_area-0.6
 #
# The columns have the following meaning: 
# time cluster all-clusters temperature-1 temperature-2 temperature-3 temperature-4 temperature-5 errors silhouette dunnIndex 
0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
1.976518064392696E-5 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
1.000019765180644 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
2.0000197651806446 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
3.0000197651806455 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
4.000019765180646 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
5.000019765180642 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
6.000019765180639 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
7.000019765180635 4 4 3.0 7.0 8.0 5.0 0.0 0.0 0.8007222004864627 2.181389569702977 
8.000019765180632 4 4 11.0 18.0 18.0 16.0 0.0 0.0 0.7070079548516064 1.3196402159388703 
9.000019765180628 4 4 29.0 33.0 31.0 31.0 0.0 0.015 0.619068731698468 1.255553996277875 
10.000019765180625 4 4 34.0 34.0 34.0 32.0 0.0 0.025 0.5985713056425453 1.296828747009113 
11.000019765180621 4 4 35.0 19.0 34.0 32.0 0.0 0.025 0.6054375090864899 1.292170019609581 
12.000019765180618 4 4 36.0 3.0 35.0 33.0 0.0 0.02 0.6160667294801374 1.2723319814664062 
13.000019765180614 3 3 35.0 0.0 36.0 36.0 0.0 0.0075 0.6292698345809307 1.301277129659893 
14.00001976518061 4 4 34.0 10.0 36.0 37.0 0.0 0.01 0.6070979008253552 1.301163221451518 
15.000019765180607 4 4 35.0 26.0 36.0 37.0 0.0 0.01 0.6005770130506679 1.2714946747598392 
16.000019765180603 4 4 30.0 35.0 37.0 37.0 0.0 0.0125 0.5936467839396083 1.2870905459790924 
17.000019765180618 4 4 12.0 35.0 37.0 37.0 0.0 0.0125 0.615505804427331 1.2884794787790415 
18.00001976518063 4 4 1.0 35.0 37.0 37.0 0.0 0.0075 0.60186720653273 1.2632038142047655 
19.000019765180646 3 3 0.0 34.0 37.0 36.0 0.0 0.01 0.627791800252276 1.305715164693982 
20.00001976518066 5 5 3.0 34.0 36.0 36.0 0.0 0.0175 0.5542531302543531 0.8554259791372106 
21.000019765180674 5 5 12.0 34.0 36.0 35.0 0.0 0.03 0.5742181418960961 0.9039623575407691 
22.00001976518069 5 5 24.0 34.0 38.0 33.0 0.0 0.04 0.5702145393494359 0.8806073521626643 
23.000019765180703 5 5 32.0 33.0 38.0 33.0 0.0 0.0325 0.5775278469199121 0.9741255232221684 
24.000019765180717 5 5 33.0 34.0 40.0 33.0 0.0 0.0225 0.5803418115010622 0.9417029167391618 
25.00001976518073 5 5 33.0 35.0 38.0 33.0 0.0 0.02 0.5796665882168066 0.9676171178691979 
26.000019765180745 5 5 33.0 34.0 39.0 32.0 0.0 0.0325 0.5737890359637579 0.928612270573365 
27.00001976518076 5 5 33.0 33.0 37.0 33.0 0.0 0.05 0.5640330965760832 0.8713584320335657 
28.000019765180774 5 5 32.0 33.0 22.0 33.0 0.0 0.045 0.5910732540320961 0.9530498446942697 
29.000019765180788 5 5 33.0 33.0 2.0 33.0 0.0 0.0475 0.5901514329733667 0.8434926387221751 
30.000019765180802 4 4 34.0 33.0 0.0 35.0 0.0 0.0325 0.6395779274070755 1.2714665301647603 
31.000019765180816 5 5 33.0 33.0 14.0 35.0 0.0 0.0325 0.6143395227763381 1.0801896506165525 
32.00001976518083 5 5 33.0 34.0 32.0 36.0 0.0 0.015 0.5919023112208597 1.0365278355834626 
33.000019765180845 4 4 33.0 35.0 36.0 36.0 0.0 0.005 0.6162831885363369 1.3537382947883005 
34.00001976518086 4 4 35.0 34.0 38.0 36.0 0.0 0.0125 0.6115234048456342 1.3337705177491355 
35.00001976518087 4 4 34.0 35.0 37.0 36.0 0.0 0.0075 0.614181460110581 1.362229480392572 
36.00001976518089 4 4 33.0 35.0 36.0 35.0 0.0 0.005 0.6128722448392447 1.3524135752265012 
37.0000197651809 4 4 32.0 35.0 37.0 34.0 0.0 0.0025 0.6175217963232164 1.3909367245761066 
38.000019765180916 4 4 32.0 35.0 36.0 31.0 0.0 0.005 0.6192199663804987 1.3956617213197413 
39.00001976518093 4 4 33.0 35.0 11.0 24.0 0.0 0.0075 0.6058774999666675 1.221125987120171 
40.000019765180944 4 4 32.0 34.0 1.0 14.0 0.0 0.0075 0.589693234427658 0.8102284633761293 
41.00001976518096 4 4 27.0 34.0 8.0 10.0 0.0 0.01 0.6522496896984874 1.324750559758836 
42.00001976518097 4 4 3.0 34.0 21.0 19.0 0.0 0.01 0.6865779987707943 1.2636456822303461 
43.00001976518099 4 4 2.0 33.0 35.0 27.0 0.0 0.015 0.6381719262974368 1.3003410998101477 
44.000019765181 4 4 16.0 32.0 38.0 24.0 0.0 0.015 0.6341865952733753 1.3171942350602095 
45.000019765181015 4 4 27.0 30.0 37.0 10.0 0.0 0.025 0.5887127791095369 1.1349450409330895 
46.00001976518103 4 4 30.0 30.0 35.0 0.0 0.0 0.0175 0.5520682414743949 0.926711676989113 
