#####################################################################
# Alchemist log file - simulation started at: 2022-07-20T18:46+0000 #
#####################################################################
#
# seed = 0.0, density = 0.75, in_cluster_thr = 1.5, same_cluster_thr = 0.3, candidate_in_hysteresis = 7, speed = 0.0, explore_area = 0.0, fail_frequency = 0.1, new_node_frequency = 0.1
#
# The columns have the following meaning: 
# time cluster all-clusters temperature-1 temperature-2 temperature-3 temperature-4 temperature-5 errors silhouette dunnIndex 
0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
0.0011337332612453288 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
1.0011337332612453 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
2.0011337332612453 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
3.0011337332612453 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
4.001133733261245 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
5.001133733261245 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
6.001133733261245 0 0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0 -1.0 
7.001133733261245 4 4 2.0 6.0 5.0 13.0 11.0 0.0 0.6549457092430528 1.1704508353113452 
8.001133733261245 5 5 15.0 21.0 20.0 25.0 34.0 0.05612244897959184 0.1544654764404175 0.24450398110164087 
9.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.10204081632653061 -0.018697190787363076 0.09471883417351284 
10.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.10204081632653061 -0.0964185671555959 0.019520060325856643 
11.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11224489795918367 -0.07323555736300094 0.004100788187896946 
12.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11224489795918367 -0.022794987763237858 0.0015537198684662781 
13.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00946534776946217 0.0018830924716242109 
14.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00946534776946217 0.0018830924716242109 
15.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00946534776946217 0.0018830924716242109 
16.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00946534776946217 0.0018830924716242109 
17.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00946534776946217 0.0018830924716242109 
18.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00946534776946217 0.0018830924716242109 
19.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00946534776946217 0.0018830924716242109 
20.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00946534776946217 0.0018830924716242109 
21.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00928436738679215 0.0012672053444633053 
22.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.00975941666379864 0.003616459706355583 
23.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.015240172041584501 0.003616459706355583 
24.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.02596109471752386 0.003616459706355583 
25.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.03962757669430987 0.003616459706355583 
26.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.05116772822749418 0.004615953578244295 
27.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.05671309573939285 0.006231315505994173 
28.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.06175927850431589 0.012145378013869062 
29.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.06951650924090888 0.014006252309329972 
30.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.07700100517086679 0.014794419170764987 
31.001133733261245 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.0871847385619447 0.011296120452461138 
32.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.09679649593608382 0.006969993186811013 
33.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.1186479360459145 0.00827609117528258 
34.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.1334182135876988 0.006380499620565874 
35.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.14286212912175014 0.015388565222525316 
36.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.1445779795178219 0.0220731047469524 
37.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.14758327394225795 0.031669333421510217 
38.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.14785996146881294 0.04420852169332518 
39.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.1707588880879839 0.07749909851791942 
40.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.16835937313306937 0.13071712529138932 
41.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.16913400927637562 0.16689928337992296 
42.00113373326124 5 5 20.0 26.0 24.0 25.0 36.0 0.11734693877551021 -0.1652137769478243 0.2391323904384522 
